Temperatur,KielerWoche,school_holiday,public_holiday,Month,sin_season,cos_season,is_weekend,lag_1,lag_2,lag_7,lag_14,roll7_mean,roll7_std,roll14_mean,roll14_std,roll30_mean,roll30_std,Wochentag_Friday,Wochentag_Monday,Wochentag_Saturday,Wochentag_Sunday,Wochentag_Thursday,Wochentag_Tuesday,Wochentag_Wednesday,lag_1_isna,lag_2_isna,lag_7_isna,lag_14_isna,roll7_mean_isna,roll7_std_isna,roll14_mean_isna,roll14_std_isna,roll30_mean_isna,roll30_std_isna,umsatz
17.6875,0,1,0,7,-0.2135209154397959,-0.9769384927771817,1,141.233309883732,101.447511461298,92.6377553788373,,125.79270149584262,19.915354353235657,139.67343610295973,25.911647072168655,139.67343610295973,25.911647072168655,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,112.524365708762
18.7375,0,1,0,7,-0.23030567023061196,-0.973118337233262,0,112.524365708762,141.233309883732,135.500244042392,148.828353112183,128.633645828689,15.275413598931488,137.73421678908844,25.930951908598377,137.73421678908844,25.930951908598377,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,161.264677322182
21.1875,0,1,0,7,-0.24702218048093527,-0.9690098257244063,0,161.264677322182,112.524365708762,136.048382778344,159.79375714468,132.31427915437328,19.675848890049878,138.62252566123124,26.545955630725807,139.30291415796134,25.71569263933626,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,116.821358174215
22.5125,0,1,0,7,-0.2636654927280072,-0.9646141756912435,0,116.821358174215,161.264677322182,135.132314289581,111.885593514353,129.56756135378342,20.396527634031244,135.5530685919123,26.39363095083547,137.8978169089772,25.471536346643955,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,150.572919592838
23.25,0,1,0,7,-0.2802306751992161,-0.9599326896597445,0,150.572919592838,116.821358174215,138.549392636714,168.864940979931,131.77336211139158,21.879631844074737,138.3164490260898,25.74228422056849,138.64341118449843,24.853565139029534,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,101.90072129658
22.475,0,1,0,7,-0.2967128192734901,-0.9549667548552553,0,101.90072129658,150.572919592838,101.447511461298,171.280754117955,126.53783763422958,24.24491287365733,133.53329047727902,25.850519925103004,136.60215063516964,25.619637526451623,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,161.63511518654
23.1875,0,1,0,7,-0.3131070409358267,-0.9497178427914317,1,161.63511518654,101.90072129658,141.233309883732,174.552359998476,135.1360667378356,24.534609634828573,132.84431626789222,24.877295625661112,137.91967508524175,25.551567499373807,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,134.328076682024
26.375,0,1,0,7,-0.3294084822245302,-0.9441875088341994,1,134.328076682024,161.63511518654,112.524365708762,92.6377553788373,134.14960485187729,24.386974474718773,129.97115317385996,21.825369141702478,137.74009516508085,24.88303314381371,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,66.2887578161955
26.1,0,1,0,7,-0.3456123126707333,-0.9383773917408642,0,66.2887578161955,134.328076682024,161.264677322182,135.500244042392,127.54451801008206,35.11979624863352,128.08908191938554,26.02451771946858,134.33765052941968,28.832556095286794,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,131.223948997842
24.95,0,1,0,7,-0.3617137307297674,-0.9322892131745134,0,131.223948997842,66.2887578161955,116.821358174215,136.048382778344,123.25298539231922,32.01033383708099,127.78363227334626,25.955846633022087,134.19611864162067,28.145523427298798,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,110.315246796665
24.075,0,1,0,7,-0.37770796520396466,-0.9259247771938499,0,110.315246796665,131.223948997842,150.572919592838,135.132314289581,122.32354090981207,32.32115152688359,125.94555113179776,26.23520310570949,133.15781986575303,27.945629703051036,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,141.891908195545
23.0875,0,1,0,7,-0.39359027665646645,-0.9192859697186105,0,141.891908195545,110.315246796665,101.90072129658,138.549392636714,121.08339642448449,31.203816299675967,126.42837926793803,26.47835462894814,133.5217402128277,27.389451012401707,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,167.701216640907
27.2625,0,1,0,7,-0.4093559588156211,-0.9123747579707274,0,167.701216640907,141.891908195545,161.63511518654,101.447511461298,130.48346718795977,34.22666050060756,128.5106524110947,28.5686332966015,134.88891926995086,27.670451869608005,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,147.272084366206
26.1625,0,1,0,7,-0.42500033996955394,-0.9051931898913975,1,147.272084366206,167.701216640907,134.328076682024,141.233309883732,128.43160564219778,32.43133072933363,131.78383619001667,27.8453890560735,135.36519485057607,27.219947640430128,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,161.403357795112
24.8875,0,1,0,7,-0.4405187843504952,-0.8977433935342336,1,161.403357795112,147.272084366206,66.2887578161955,112.524365708762,132.29950294406748,34.78119927920238,133.22455389797238,28.874687016250487,136.32957125592924,27.157669322111243,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,86.0791432446654
22.7875,0,1,0,7,-0.455906693508459,-0.8900275764346766,0,86.0791432446654,161.403357795112,131.223948997842,161.264677322182,135.12670086242034,28.813604372807404,131.33560943625122,31.111408434121216,134.5349131126698,28.291431272933494,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,183.564164400591
21.075,0,1,0,7,-0.47115950767386394,-0.8820480249558535,0,183.564164400591,86.0791432446654,110.315246796665,116.821358174215,142.6038744913845,33.96307383337427,132.92842994185185,33.25832495050126,136.22557695018435,29.235443724454836,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,132.111640117897
20.275,0,1,0,7,-0.4862727071086902,-0.8738071036110807,0,132.111640117897,183.564164400591,141.891908195545,150.572919592838,145.7176449658462,31.412855232197447,134.02059293782912,32.93821748624176,136.08844572244143,28.736779917328832,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,144.745431773143
23.4,0,1,0,8,-0.5012418134457756,-0.8653072543632061,0,144.745431773143,132.111640117897,167.701216640907,101.90072129658,146.12529119121734,31.3734244002122,133.60434380785094,32.74923039475883,135.95234834447345,28.683983018755267,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,157.854023011106
31.4375,0,1,0,8,-0.5160623910158526,-0.8565509959010037,0,157.854023011106,144.745431773143,147.272084366206,161.63511518654,144.71854924410292,30.45198592956593,137.60100821603135,31.987927867674276,135.88769054002097,28.63052430263,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,117.359342094889
23.3625,0,1,0,8,-0.5307300481619331,-0.8475409228928312,1,117.359342094889,157.854023011106,161.403357795112,134.328076682024,140.44530034820048,32.08873572781254,134.43845299519916,31.615502590465496,136.07014882603886,28.489381589463427,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,186.027178770079
23.05,0,0,0,8,-0.5452404385406507,-0.8382797052177745,1,186.027178770079,117.359342094889,86.0791432446654,66.2887578161955,143.96298905891007,35.89329160887182,138.1312460014888,34.49023319293951,136.64222341904375,29.330512184627896,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,104.708216687715
25.8,0,0,0,8,-0.5595892624101763,-0.828770087174504,0,104.708216687715,186.027178770079,183.564164400591,131.223948997842,146.62428526506,31.28042614880766,140.87549306374018,29.502038660792216,134.42313883803575,29.137197632847425,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,146.775309890073
22.225,0,0,0,8,-0.5737722679043243,-0.8190148866680802,0,146.775309890073,104.708216687715,132.111640117897,110.315246796665,141.36873462070028,26.81079636442434,141.98630455604237,29.403289470849888,133.49723716775569,28.245729132540838,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,131.956277381283
19.2125,0,0,0,8,-0.5877852522924734,-0.8090169943749472,0,131.956277381283,146.775309890073,144.745431773143,141.891908195545,141.34653994404113,26.819799634449485,143.53209245494367,28.152452707079917,134.80785456783718,27.176410269252845,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,160.593417296116
16.975,0,0,0,8,-0.6016240632249227,-0.7987793728863648,0,160.593417296116,131.956277381283,157.854023011106,167.701216640907,143.61053787589444,27.805335010521283,144.86791453355588,28.510058180185272,135.64429367629467,27.58159550605202,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,153.099424561652
20.3375,0,0,0,8,-0.6152845999633277,-0.7883050558305253,0,153.099424561652,160.593417296116,117.359342094889,147.272084366206,142.9313095259724,27.455274459754584,143.82492938503768,27.870404825279905,136.21266173573824,27.765281562944068,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,125.620344387906
19.3625,0,0,0,8,-0.6287628145958345,-0.7775971469736268,1,125.620344387906,153.099424561652,186.027178770079,161.403357795112,144.11145271068915,26.327259017105696,142.2783765294448,28.262385336461737,135.8955960723491,27.832274161460933,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,185.177162656408
16.3875,0,0,0,8,-0.6420547132365636,-0.7666588193001592,1,185.177162656408,125.620344387906,104.708216687715,86.0791432446654,143.99002183730758,26.10270940018701,143.9765054481088,30.151006464894692,137.44985507300555,29.251341025848056,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,73.2088330039992
16.45,0,0,0,8,-0.655156357209085,-0.7554933140726804,0,73.2088330039992,185.177162656408,146.775309890073,183.564164400591,139.49010988249103,35.150345308455286,143.0571975737755,32.18003276817462,136.5085657910956,30.859943352614856,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,154.504729536697
16.4,0,0,0,8,-0.6680638642135333,-0.7441039398713608,0,154.504729536697,73.2088330039992,131.956277381283,132.111640117897,140.59431268915162,35.536625400573705,140.98152365492595,30.245307750485086,136.95094644619445,31.024692441482443,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,134.064451548102
18.2625,0,0,0,8,-0.680773409477016,-0.732494071613579,0,134.064451548102,154.504729536697,160.593417296116,144.745431773143,140.8954804272686,35.460069062868044,141.12101018565488,30.20573174550609,137.66894930750578,30.687312246537164,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,156.972510536869
19.8,0,0,0,8,-0.6932812268869771,-0.7206671495538615,0,156.972510536869,134.064451548102,153.099424561652,157.854023011106,140.37820803309046,35.149888982299025,141.99437295449243,30.493979165927133,137.52587708132867,30.583338860773313,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,164.763795399756
23.575,0,0,0,8,-0.7055836101071774,-0.70862667826446,0,164.763795399756,156.972510536869,125.620344387906,117.359342094889,142.04454672424816,36.11666028677731,142.4879281251103,30.824545282713093,139.12395832218004,30.716438955941964,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,147.79799759804
20.55,0,0,0,8,-0.7176769136759615,-0.6963762255968726,1,147.79799759804,164.763795399756,185.177162656408,186.027178770079,145.21278289712447,35.40141859931849,144.6621178039068,29.97762663902748,139.03146092235343,30.684935432274088,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,221.630418006017
18.5875,0,0,0,8,-0.7295575540864876,-0.6839194216246105,1,221.630418006017,147.79799759804,73.2088330039992,104.708216687715,150.42039080421145,43.91702721868244,147.20520632075952,34.867953177468124,143.022450812668,33.35878547829287,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,92.489778506026
18.4875,0,0,0,8,-0.7412220108485957,-0.6712599575675315,0,92.489778506026,221.630418006017,154.504729536697,146.775309890073,153.17481159021528,38.54316849240069,146.33246073635317,36.143075078111686,140.71760625665087,34.400881570274834,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,145.87913275728
17.775,0,0,0,8,-0.7526668275320083,-0.6584015846980489,0,145.87913275728,92.489778506026,134.064451548102,131.956277381283,151.94258347886998,38.63134428945356,146.2684480840108,36.14302402478951,141.1026414591594,34.391541981436674,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,111.842396126739
20.125,0,0,0,8,-0.7638886127905429,-0.64534811322955,0,111.842396126739,145.87913275728,156.972510536869,160.593417296116,148.768004132961,41.17470160960395,144.8317422801148,37.141676266734834,142.62109606951086,31.88905350777277,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,125.336522713024
21.6625,0,0,0,8,-0.7748840413670406,-0.6321034111873488,0,125.336522713024,111.842396126739,164.763795399756,153.099424561652,144.24857730098316,41.85466955194169,142.3133926670368,37.18601629910562,142.4248485266836,31.979598236045046,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,132.916428220302
22.0375,0,0,0,8,-0.7856498550787144,-0.6186714032625032,0,132.916428220302,125.336522713024,147.79799759804,125.620344387906,139.69895341820398,40.97464676812703,140.8717500712261,37.12687736367974,143.17822124080482,31.4590608716711,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,162.958958703106
20.85,0,0,0,8,-0.7961828637826154,-0.6050560696488494,1,162.958958703106,132.916428220302,221.630418006017,185.177162656408,141.86480500464202,41.86511476197913,143.53879395088322,37.28777999782135,143.88045625772352,31.66382237236413,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,201.543109556297
21.3875,0,0,0,8,-0.8064799463209447,-0.5912614448635783,1,201.543109556297,162.958958703106,92.489778506026,73.2088330039992,138.99518951182486,35.72448079711526,144.70779015801816,38.914636492733,145.0085193549032,33.11146740585037,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,83.0226725739551
20.125,0,0,0,8,-0.8165380514459157,-0.5772916165517278,0,83.0226725739551,201.543109556297,145.87913275728,154.504729536697,137.6427458072433,37.89194470478774,145.4087786987293,37.59358537945275,142.8668722951615,34.98483949982545,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,165.829031676714
21.0875,0,0,0,8,-0.8263541987239094,-0.5631507242749189,0,165.829031676714,83.0226725739551,111.842396126739,134.064451548102,140.49273136716243,39.33736255848609,146.21765742301622,37.92472303518192,143.01439475788155,35.07491363692349,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,118.473650434102
21.3,0,0,0,8,-0.8359254794186365,-0.5488429582847199,0,118.473650434102,165.829031676714,125.336522713024,156.972510536869,141.44005341107143,38.605450480276716,145.10402877201622,38.53306988587718,144.09421166419614,33.73470665662551,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,108.876991442649
20.2125,0,0,0,8,-0.8452490573530633,-0.5343725582809785,0,108.876991442649,118.473650434102,132.916428220302,164.763795399756,139.08869180101786,40.21735080488337,141.6686345510005,39.52475123134513,141.6046392322647,33.4763523676008,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,178.178023803315
19.7875,0,0,0,8,-0.8543221697498269,-0.5197438121555157,0,178.178023803315,108.876991442649,162.958958703106,147.79799759804,145.5546340271626,42.6259545565676,142.6267937226833,40.28301184376853,143.14018535511198,34.07703101306083,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,133.150828452892
18.35,0,0,0,8,-0.8631421280499115,-0.5049610547215202,1,133.150828452892,178.178023803315,201.543109556297,221.630418006017,141.29632970570344,42.08294150957716,141.58056735517272,40.32855628399949,142.75369857777025,34.12391542380238,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,130.821314898435
15.8625,0,0,0,9,-0.8717063187093217,-0.4900286664290594,1,130.821314898435,133.150828452892,83.0226725739551,92.489778506026,131.19321618315172,32.637874035876905,135.09420284748828,33.12199345566904,141.8526083073479,34.0682932700496,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,95.9704314892471
16.575,0,0,0,9,-0.8800122039735356,-0.4749510720670502,0,95.9704314892471,130.821314898435,165.829031676714,145.87913275728,133.04289602819344,29.6863577275662,135.34282091771837,32.78898855362023,141.13964462049316,34.81419356157376,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,138.408723210465
18.225,0,0,0,9,-0.888057322629493,-0.4597327394521046,0,138.408723210465,95.9704314892471,118.473650434102,111.842396126739,129.1257091044436,26.24922204431914,134.80922023580302,32.6648843312515,139.55236276850604,33.76684633264792,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,138.825618927843
18.125,0,0,0,9,-0.8958392907349089,-0.4443781781046134,0,138.825618927843,138.408723210465,108.876991442649,125.336522713024,132.03313317497802,25.998653943284683,136.73659329302473,31.994687541041497,140.68960950984365,33.12120435628711,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,100.221969526295
21.7,0,0,0,9,-0.9033558023246842,-0.4288919379124841,0,100.221969526295,138.825618927843,178.178023803315,132.916428220302,130.79670147264173,27.448806684595667,134.9426966368298,33.358061680048216,139.1378314977177,33.907462737253965,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,173.658100347255
24.7,0,0,0,9,-0.9106046300942162,-0.41327860778290443,0,173.658100347255,100.221969526295,133.150828452892,162.958958703106,130.150998121776,26.171909904877438,137.8528160744693,34.90877916517178,140.52789226325012,34.45330224052429,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,171.415179710314
22.7625,0,0,0,9,-0.9175836260593934,-0.3975428142825566,1,171.415179710314,173.658100347255,130.821314898435,201.543109556297,135.61733401569344,30.53517401247989,138.45683186069843,35.44562833041239,140.8886176770567,34.726203248336525,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,186.034060963767
20.1625,0,0,0,9,-0.9242907221930934,-0.3816892202666586,1,186.034060963767,171.415179710314,95.9704314892471,83.0226725739551,143.50486916788373,35.77180731893666,137.34904267551772,33.51192315938519,141.98643889046056,35.63426163775979,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,88.8925958109828
11.575,0,0,0,9,-0.9307239310379793,-0.3657225234972692,0,88.8925958109828,186.034060963767,138.408723210465,165.829031676714,142.49374978527453,37.40221538029142,137.768322906734,32.80929574125002,140.7621806045631,36.82688314577539,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,169.359968504942
13.5875,0,0,0,9,-0.9368813462954315,-0.34964745525122826,0,169.359968504942,88.8925958109828,138.825618927843,118.473650434102,146.9153562559141,38.64756639994714,138.02053268017886,33.05425224551313,140.23494079951425,36.27821790309736,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,89.6944536084346
13.9,0,0,0,9,-0.9427611433904206,-0.33346877891818705,0,89.6944536084346,169.359968504942,100.221969526295,108.876991442649,139.8966183531415,44.39548665001577,135.96487576405974,35.18932950980101,140.78446148632875,35.34068001914506,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,103.363686559795
16.1125,0,0,0,9,-0.9483615800121716,-0.31719128858910595,0,103.363686559795,89.6944536084346,173.658100347255,178.178023803315,140.34543507221292,43.94110205738067,135.5710682724273,35.5448457015351,139.07976005376534,35.88527442384018,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,106.474399987548
17.4375,0,0,0,9,-0.9536809966304455,-0.300819807635668,0,106.474399987548,103.363686559795,171.415179710314,133.150828452892,130.74776359225476,42.773880202022966,130.4493808570154,34.06858311974406,138.16009166841357,36.36852427544032,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,122.564626199915
17.625,0,0,0,9,-0.9587178169872964,-0.2843591872810036,1,122.564626199915,106.474399987548,186.034060963767,130.821314898435,123.7691130907692,38.83693051150201,129.69322355323132,34.12145200261324,137.0131621905151,36.297271296654024,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,174.938807466572
14.8625,0,0,0,9,-0.9634705485641486,-0.26781430516217486,1,174.938807466572,122.564626199915,88.8925958109828,95.9704314892471,122.1840768768842,35.99460732670489,132.84447302238397,36.2071182722049,137.35232925940898,36.61169546553774,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,55.1960062296304
13.1375,0,0,0,9,-0.9679377830240641,-0.25119006388481957,0,55.1960062296304,174.938807466572,169.359968504942,138.408723210465,117.37027836526242,42.79902811265855,129.93201407526848,40.755609329008216,134.2655962137953,39.4910652928077,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,146.760234890658
13.1375,0,0,0,9,-0.9721181966290612,-0.23449138957041052,0,146.760234890658,55.1960062296304,89.6944536084346,138.825618927843,114.14174499179327,38.89819728870981,130.5285506238537,40.949883468622815,131.76992344328335,35.99014967364884,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,136.118044538363
13.05,0,0,0,9,-0.9760105506323682,-0.21772323039653224,0,136.118044538363,146.760234890658,103.363686559795,100.221969526295,120.77368655321163,37.98207396814005,130.33515245317656,40.91406180037581,133.22419897769456,35.221449275672136,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,152.255085210606
14.8375,0,0,0,9,-0.9796136916454901,-0.20089055513063528,0,152.255085210606,136.118044538363,106.474399987548,173.658100347255,127.75817207475606,38.73481800047157,134.05180357348448,40.32729235934185,133.43673072613876,35.31954444428605,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,148.674992078993
13.525,0,0,0,9,-0.9829265519799822,-0.18399835165767986,0,148.674992078993,152.255085210606,122.564626199915,171.415179710314,133.78682808781963,38.14974509469323,132.2672958400372,38.96978411883435,134.66448392454723,35.182923148824194,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,110.159250328825
15.35,0,0,0,9,-0.9859481499638303,-0.1670516255021195,1,110.159250328825,148.674992078993,174.938807466572,186.034060963767,132.01463153480677,39.03579160191174,127.89187231278798,37.6528282681671,134.15857484507393,35.429931652878906,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,178.263887943827
17.1375,0,0,0,9,-0.9886775902323404,-0.15005539834465262,1,178.263887943827,110.159250328825,55.1960062296304,88.8925958109828,132.4896430315575,39.6604075105958,127.33685995422084,36.776951928797864,135.6701568358581,36.3310027020517,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,86.6668973821597
17.3125,0,0,0,9,-0.9911140639934546,-0.13301470653419636,0,86.6668973821597,178.263887943827,146.760234890658,169.359968504942,136.98548462477595,30.059987610335465,127.1778814950192,36.960275018999845,133.1270881251599,37.01860470668992,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,111.128410563554
15.7375,0,0,0,9,-0.9932568492674143,-0.11593459959550066,0,111.128410563554,86.6668973821597,136.118044538363,89.6944536084346,131.89522400661824,31.126849061335363,123.01848449920577,35.076678608602684,130.11326482540179,34.87496465849331,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,139.64144576808
13.5375,0,0,0,9,-0.9951053111006974,-0.09882013873287211,0,139.64144576808,111.128410563554,152.255085210606,103.363686559795,132.39856703943497,31.234816721613043,126.58612679632328,33.948482206290315,132.00055726520594,33.75266927318628,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,117.94119333604
12.9875,0,0,0,9,-0.99665890175417,-0.08167639533042288,0,117.94119333604,139.64144576808,148.674992078993,106.474399987548,127.49658248592553,30.27708381591103,127.62737728034078,33.40056089055483,130.40429598718347,33.225922752521356,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,203.314345156607
13.0125,0,0,0,9,-0.9979171608653922,-0.06450844944931625,0,203.314345156607,117.94119333604,110.159250328825,122.564626199915,135.30220435415612,41.58029341050407,134.54451622098787,38.34457175870689,133.23231914460032,35.69434411738898,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,135.507291692088
